"Player","Team","Position","Rk","Status","Age","Opponent","Salary","Score","GS","W","L-QS","IP","H","BB","K","SVH3","ERA","WHIP","GP"
"Christopher Comito","CHW","SP,RP","1379","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Gerardo Concepcion","(N/A)","RP","1380","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jol Concepcion","TOR","SP","1381","FA","22","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Victor Concepcion","SF","SP","1382","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jacob Condra-Bogan","WSH","RP","1383","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Mark Conger","DET","SP,RP","1384","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Bryce Conley","OAK","SP,RP","1385","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jack Conlon","SF","SP,RP","1386","FA","22","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"P.J. Conlon","NYM","SP","1387","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Patrick Connaughton","BAL","SP,RP","1388","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Ryan Conroy","BAL","SP,RP","1389","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jacob Constante","CIN","SP","1390","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Efrain Contreras","SD","RP","1391","FA","21","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Juan Contreras","ATL","RP","1392","FA","21","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Joshua Conway","CHC","RP","1393","FA","29","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Troy Conyers","ATL","SP,RP","1394","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Clayton Cook","CLE","SP,RP","1395","FA","30","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Ryan Cook","(N/A)","RP","1396","FA","33","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Harrison Cooney","LAA","SP,RP","1397","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Tim Cooney","CLE","SP","1398","FA","30","CLE 2<br/>@WSH 8 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jordan Cooper","CLE","SP","1399","FA","31","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jordan Cooper","CLE","SP,RP","1400","FA","31","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Matt Cooper","CHW","SP,RP","1401","FA","29","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Morgan Cooper","LAD","SP,RP","1402","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Scott Copeland","WSH","RP","1403","FA","33","CLE 2<br/>@WSH 8 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Corey Copping","TOR","RP","1404","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Joe Corbett","TEX","SP,RP","1405","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Daniel Corcino","LAD","RP","1406","FA","30","LAD 9<br/>@SF 0 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Starlin Cordero","SD","RP","1407","FA","22","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Erik Cordier","BOS","RP","1408","FA","34","BAL 4<br/>@BOS 5 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Tyson Corley","CHW","RP","1409","FA","35","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Riley Cornelio","(N/A)","RP","1410","FA","20","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jonathan Cornelius","STL","SP","1411","FA","32","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"John Cornely","BOS","RP","1412","FA","31","BAL 4<br/>@BOS 5 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Gary Cornish","NYM","SP,RP","1413","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Manuel Corpas","(N/A)","RP","1414","FA","38","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Danis Correa","CHC","SP","1415","FA","21","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Hector Correa","SF","RP","1416","FA","32","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jonathan Correa","CIN","SP","1417","FA","30","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Kevin Correia","(N/A)","SP","1418","FA","40","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Zachary Correll","CIN","SP,RP","1419","FA","25","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Dan Cortes","SD","RP","1420","FA","33","SD 0<br/>@ARI 1 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Harold Cortijo","NYY","SP,RP","1421","FA","22","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Edward Jake Cosart","BOS","SP","1422","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jarred Cosart","SD","SP","1423","FA","30","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Christian Cosby","KC","SP,RP","1424","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Tom Cosgrove","SD","SP,RP","1425","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Cale Coshow","NYY","SP,RP","1426","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jean Cosme","(N/A)","SP,RP","1427","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Clark Cota","OAK","SP,RP","1428","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jordan Cote","NYY","SP,RP","1429","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Caleb Cotham","SEA","RP","1430","FA","33","OAK 1<br/>@SEA 3 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Gabriel Cotto","PHI","SP,RP","1431","FA","20","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Chris Cotton","HOU","SP,RP","1432","FA","30","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jamaine Cotton","HOU","SP,RP","1433","FA","30","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jharel Cotton","OAK","SP","1434","FA","29","OAK 1<br/>@SEA 3 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Neal Cotts","WSH","RP","1435","FA","40","CLE 2<br/>@WSH 8 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Keith Couch","BOS","SP,RP","1436","FA","31","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Danny Coulombe","NYY/MIL","RP","1437","FA","31","NYY 1<br/>@TEX 6 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"David Coulon","MIN","SP,RP","1438","FA","34","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jake Cowan","BAL","SP","1439","FA","32","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Coby Cowgill","TEX","SP,RP","1440","FA","29","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Aaron Cox","LAA","SP,RP","1441","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Adam Cox","PHI","SP,RP","1442","FA","25","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Andy Cox","CIN","SP,RP","1443","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Austin Cox","KC","SP","1444","FA","23","MIN 4<br/>@KC 5 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Cameron Cox","CLE","SP,RP","1445","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Tim Crabbe","CIN","SP,RP","1446","FA","32","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Dylan Craig","COL","SP,RP","1447","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jesse Crain","CHW","RP","1448","FA","39","DET 3<br/>@CHW 5 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Bobby Cramer","(N/A)","SP,RP","1449","FA","41","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Gabe Cramer","KC","RP","1450","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
